Filename,Unique Words,Table Capacity,Collisions 1,Collisions 2,Collisions 3,Collisions 4,Collisions 5,Collisions 6
51193.txt,2482,3109,1630,839,2278,763,743,757
56870-8.txt,9246,11579,7896,3324,8944,2875,2905,2877
32347.txt,1291,1613,640,399,1230,381,392,398
13799.txt,11837,14797,10411,4200,11527,3699,3698,3765
24878-8.txt,11550,14437,10177,4113,11234,3609,3596,3598
8933-0.txt,12154,15193,10730,4283,11553,3789,3785,3744
59255.txt,2548,3187,1684,822,2346,797,779,745
28650.txt,1556,1949,867,505,1370,480,449,484
2518.txt,7226,9041,6049,2709,6973,2183,2208,2285
41562.txt,2199,2749,1406,758,2086,681,640,666
50877.txt,2028,2539,1232,630,1832,653,645,631
38172-8.txt,13620,17027,12130,4812,13252,4271,4232,4299
34313-8.txt,7743,9679,6371,2559,7480,2382,2437,2389
18776-8.txt,10308,12889,8921,3776,9992,3215,3208,3157
22897-8.txt,2793,3491,1861,885,2567,883,851,865
2550-0.txt,10139,12689,8623,3499,9669,3178,3187,3168
1626-0.txt,12695,15877,11049,4308,12083,3891,3961,4008
3181-0.txt,2582,3229,1670,857,2327,825,804,826
58743.txt,1927,2411,1208,601,1739,582,591,618
25035.txt,2466,3083,1608,847,2263,755,781,774
28698.txt,2468,3089,1640,854,2277,775,776,789
51603.txt,1666,2083,919,562,1485,545,511,509
28726-8.txt,14293,17881,12832,5236,13961,4455,4439,4450
55514-0.txt,14405,18013,12877,4890,13739,4481,4455,4461
2305-0.txt,11360,14207,9703,3998,10945,3524,3571,3592
373-0.txt,12554,15727,11073,4318,11965,3923,3933,3930
29618.txt,1630,2039,892,549,1445,506,531,500
5737-0.txt,11307,14143,9794,4043,10911,3495,3521,3553
28062.txt,1902,2377,1160,584,1710,571,560,587
29750.txt,1704,2131,953,546,1502,528,505,532
6168.txt,4510,5639,3546,1550,4296,1415,1405,1414
49598-8.txt,7594,9497,6321,2709,7316,2430,2367,2408
58995-8.txt,1660,2081,968,529,1485,532,503,507
51699.txt,2133,2671,1345,703,1934,672,660,679
51129.txt,2164,2707,1361,712,1964,692,677,671
6073-0.txt,9370,11717,7947,3309,8868,2970,2904,2884
26772.txt,2898,3623,1983,950,2677,888,910,878
58735.txt,1847,2309,1056,563,1647,557,579,582
32077.txt,2062,2579,1253,661,1870,634,636,619
51498.txt,1641,2053,905,520,1452,541,520,486
24313-8.txt,10608,13267,9210,3702,10276,3332,3344,3305
22662-8.txt,2229,2789,1422,736,2024,711,718,734
8129-8.txt,5214,6521,4204,1782,4982,1622,1607,1639
55865-0.txt,5248,6563,4043,1819,5037,1620,1634,1671
22522-8.txt,5521,6907,4411,1847,5248,1760,1716,1739
54183-0.txt,9005,11257,7602,2932,8398,2840,2787,2863
877-0.txt,2320,2903,1511,760,2053,726,716,713
22426-8.txt,4376,5471,3356,1413,4153,1367,1366,1369
58341-0.txt,11711,14639,10242,3819,11144,3660,3648,3615
15717-8.txt,9894,12373,8442,3682,9515,3113,3110,3073
32067.txt,2501,3137,1612,811,2296,780,769,779
21782.txt,2352,2953,1490,767,2142,765,739,747
6040.txt,7755,9697,6514,2717,7492,2420,2377,2407
6696-8.txt,15363,19207,13725,5130,14696,4843,4805,4792
9205.txt,1725,2161,1030,548,1537,518,550,546
24558.txt,2816,3527,1881,899,2596,896,887,901
pg4081.txt,10649,13313,9315,3949,10376,3309,3290,3360
32104.txt,2195,2749,1366,743,2075,696,655,674
2429-0.txt,6335,7919,5092,2259,5877,1949,2012,2039
